product_id,source,title,price,image_url,product_url
601101809105143,temu,"Glowing Plush Polar Bear - Cute White Stuffed Animal Toy with Rainbow Glow-in-the-Dark Design, Soft Fluffy Fabric for Kids, Christmas Birthday Gifts, Cozy Night Play, Room Decor & Party Favors, Stuffe",11.60,https://img.kwcdn.com/product/fancy/98027113-e430-4732-bef9-0e1fe21fd99d.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/glowing-plush-polar-bear-cute-stuffed-animal-toy--christmas-or-birthday-gifts-for-kids-a-companionable--plaything-for-children-and-a--or-party-decoration-g-601101809105143.html
601101951060947,temu,"Clastyle Independence Day Patriotic Baby Gift Basket American Flag Firework Kid Book Toy Nursery Bin Collapsible Beach Towel Basket Clothes Organizer, Gnome, 15.75*11.81*11.81inch",30.98,https://img.kwcdn.com/product/aisc_image/fancy/opt/317bcb981cf142b48f2ef51080d091da-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/---gift-basket-american-flag-firework-kid--nursery-bin-collapsible-beach-towel-basket-clothes-organizer-gnome-15-75-11-81-11-81inch-g-601101951060947.html
601101056558192,temu,"Hello Kitty 50th anniversary Plush Toys Holiday Gift Stuffed Dolls Birthday Gift, Super Cute Party Favor, Soft Hello Kitty Plush Gift for Fans Birthday Decoration",9.55,https://img.kwcdn.com/product/fancy/c4ca5511-8615-4bd2-9e3b-8b209c2ad86f.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/-50th-anniversary-plush-toys-holiday-gift-stuffed-dolls-birthday-gift--party-favor-soft--plush-gift-for-fans-birthday-decoration-g-601101056558192.html
601101819919717,temu,"1pc Contemporary Fabric Storage Basket, Multi-Purpose Organizer for Baby Building Blocks, Plush Dolls, Toys, and Craft Supplies - Durable, Easy-Clean, and Space-Saving Design, Shelf Baskets",7.78,https://img.kwcdn.com/product/open/ce93ae038cc343df9818875b3f4da739-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/1pc-contemporary-fabric-storage-basket-multi-purpose-organizer-for-baby-building-blocks-plush-dolls-toys-and-craft-supplies-durable-easy-clean-and-space-saving-design-shelf-baskets-g-601101819919717.html
601101023223753,temu,"Musical Glowing Rainbow Sheep Stuffed Animal, Creative Nursery & Bedroom Stuffed Animal, Gift Toy Cute Sheep Soft Plush Toy With Colorful Lights, Adorable Night Musical LED Bedtime Companion Doll",16.21,https://img.kwcdn.com/product/fancy/0a422cad-2c4b-49df-bd1a-9b6fba5b18ca.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/musical-glowing--stuffed-animal-creative-nursery-bedroom-stuffed-animal-gift-toy-cute-sheep-soft-plush-toy-with-colorful-lights-adorable-night-musical-led-bedtime-companion-doll-g-601101023223753.html
601099746043701,temu,"iCradle Realistic Reborn Baby Doll, 19"" Vinyl Fashion Doll with Soft Body, Lifelike Sleeping, Anime & Fantasy Inspired Collectible, Ideal for Gift and Ages 3+, White",36.14,https://img.kwcdn.com/product/fancy/c5934c06-d0c5-40ee-806d-8f9bbe8360a8.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/-realistic--doll-19-vinyl-fashion-doll-with-soft-body-lifelike-sleeping-anime-fantasy-inspired-collectible-ideal-for-gift-and-ages-3-white-g-601099746043701.html
601099930552969,temu,"Adorable Strawberry Cupcake Plush Toy, 10.23"" Tall - Ultra-Soft Crystal Fabric, Cute Pink & White Design with Smiling Face - Perfect for Birthday, Holiday, and Back-to-School Gifts - Cozy Party and Ho",7.98,https://img.kwcdn.com/product/open/b892ad134b6d4e8da8655e98974c3014-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/adorable-strawberry-cupcake-plush-toy-10-23-tall-ultra-soft-crystal-fabric-cute-pink--with---birthday-holiday-and-back-to-school-gifts-cozy-party-and-home-decor-accessory-birthday-plush-toy-cupcake-shaped-toy-details-g-601099930552969.html
601102243704413,temu,"ACMUUNI 19 7 Inch Dinosaur Round Kids Laundry Clothes Hamper Dino Laundry Basket with Handles, Baby Toys Storage Organizer Bins Laundry Gift Basket for Boys and Girls Room, Bedroom Decor",16.33,https://img.kwcdn.com/product/open/46a06180cd1145c595f118af4ada5bab-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/-19-7-inch-dinosaur-round-kids-laundry-clothes-hamper-dino-laundry-basket-with-handles-baby-toys-storage-organizer-bins-laundry-gift-basket-for-boys-and-girls-room-bedroom-decor-g-601102243704413.html
601102246674901,temu,Disney Stitch Plush Cartoon Doll Stitch Baby Plush Toy for Party Birthday Valentine'S Day Christmas and other holiday gifts,11.73,https://img.kwcdn.com/product/open/350fcb566a21414fac303550f1849e80-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/--plush-cartoon-doll--baby-plush-toy-for-party-birthday-valentines-day-christmas-and-other-holiday-gifts-g-601102246674901.html
601100099973697,temu,"3pcs Clownfish Swimming Bath Toys, Wind-Up Chain Toy, Ideal Gift for Youngsters: 0-3 Years Old, Youngsters'S Bath Toys Are Perfect for Any Occasion: Birthday, Holiday, Christmas",4.02,https://img.kwcdn.com/product/fancy/b474aff5-1c2f-411c-ae9c-1f5d75354dd3.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/3pcs--swimming-and-bathing-toys-floating--toys-ideal-gift-for-infants-and-children-0-3-year-old-childrens-bathing-toys-are--for-any-occasion--its-birthdays-holidays-or-christmas-g-601100099973697.html
601100813036463,temu,"Soft & Flexible Cartoon Bear Teething Rings - Safe, Reassuring, and Protective for Baby Teething, Soft Elasticity, Soothes Gums, and Prevents Choking Hazards, Teething Toys|Fun Teething Toys|Soft Text",4.33,https://img.kwcdn.com/product/fancy/cf9e2459-f188-4d93-9a2e-b3cf85281803.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/soft-flexible-cartoon-bear-teething-rings-safe--and-protective-for-baby-teething-soft--soothes-gums-and-prevents-choking-hazards-teething-toys-fun-teething-toys-soft-texture-g-601100813036463.html
601101140807082,temu,"Family Hand Puppets, Puppets For Kids Role Paly Family Members 13.4 INCH Multi-Ethnic Puppets Plush Soft Hand Puppets Family Puppets Story Toys, Puppets For Girls Boys Finger Puppets",8.83,https://img.kwcdn.com/product/fancy/dc62cc87-bf2b-45e7-ad72-8beb3a49f6e1.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/family-hand-puppets-puppets-for-kids-role--family--13-4-inch-multi-ethnic-puppets-plush--puppets-family-puppets-story-toys-puppets-for-girls-boys-finger-puppets-g-601101140807082.html
601102215732139,temu,"Round Rope Storage Basket with Lid, Single Woven Nursery Organizer Bin u2013 7.1u201D4.3u201D Decorative Basket for Toys, Diapers Baby Clothes u2013 Foldable Shelf Floor Storage Box, Shelf Baskets",17.35,https://img.kwcdn.com/product/open/a874dfa7bc914014aa66488cb53e1204-goods.jpeg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/round-rope-storage-basket-with-lid-single-woven-nursery-organizer-bin-u2013-7-1u201d4-3u201d-decorative-basket-for-toys-diapers-baby-clothes-u2013-foldable-shelf-floor-storage-box-shelf-baskets-g-601102215732139.html
602529333129285,temu,"Light-Up Transparent Car Toy, Toys for Autistic Kids Ages 3-5 7, Sensory Toys That Light Up for Kids with Autism Special Needs Toys, Bump and Go, Music, and LED Effects",10.53,https://img.kwcdn.com/local-goods-image/201a0da61e2/5e6087a7-360e-436b-ac90-6dae0fec6695_2000x2000.jpeg.format.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/light-up-transparent-car-toy-toys-for-autistic-kids-ages-3-5-7-sensory-toys-that-light-up-for-kids-with-autism--bump--music-and-led-effects-g-602529333129285.html
601101431987371,temu,"Music & Touch-Activated Glow-in-the-Dark Unicorn Plush Toy - Soft White & Pink Stuffed Animal with Rainbow Lights, Musical Notes & Starry Night Sky, Cute Huggable Night Light for Kids, Ideal Birthday",13.26,https://img.kwcdn.com/product/fancy/2fce8eaf-b02e-48bd-a6df-9b7532c9ab29.jpg?imageView2/2/w/500/q/70/format/webp,https://www.temu.com/music-touch-activated-glow-in-the-dark-unicorn-plush-toy-soft-white-pink-stuffed-animal-with-rainbow-lights-musical-notes--cute--night-light-for-kids-ideal-birthday-gift-for-boys-girls-unicorn-stuffed-animal-g-601101431987371.html
